timestamp,same_satellite,satellite
2024-04-09 12:00:00,True,971
2024-04-09 12:00:15,True,971
2024-04-09 12:00:30,True,971
2024-04-09 12:00:45,True,971
2024-04-09 12:01:00,True,971
2024-04-09 12:01:15,True,971
2024-04-09 12:01:30,True,971
2024-04-09 12:01:45,True,971
2024-04-09 12:02:00,True,1453
2024-04-09 12:02:15,True,1453
2024-04-09 12:02:30,True,1453
2024-04-09 12:02:45,True,1453
2024-04-09 12:03:00,True,1453
2024-04-09 12:03:15,True,1453
2024-04-09 12:03:30,True,665
2024-04-09 12:03:45,True,665
2024-04-09 12:04:00,True,665
2024-04-09 12:04:15,True,665
2024-04-09 12:04:30,True,665
2024-04-09 12:04:45,True,665
2024-04-09 12:05:00,True,665
2024-04-09 12:05:15,True,665
2024-04-09 12:05:30,True,665
2024-04-09 12:05:45,True,669
2024-04-09 12:06:00,True,669
2024-04-09 12:06:15,True,669
2024-04-09 12:06:30,True,669
2024-04-09 12:06:45,True,669
2024-04-09 12:07:00,True,669
2024-04-09 12:07:15,True,669
2024-04-09 12:07:30,True,669
2024-04-09 12:07:45,True,669
2024-04-09 12:08:00,True,669
2024-04-09 12:08:15,True,669
2024-04-09 12:08:30,True,1143
2024-04-09 12:08:45,True,1143
2024-04-09 12:09:00,True,1143
2024-04-09 12:09:15,True,1143
2024-04-09 12:09:30,True,1143
2024-04-09 12:09:45,True,1899
2024-04-09 12:10:00,True,1899
2024-04-09 12:10:15,True,1899
2024-04-09 12:10:30,True,1899
2024-04-09 12:10:45,True,1899
2024-04-09 12:11:00,True,1899
2024-04-09 12:11:15,True,1899
2024-04-09 12:11:30,True,1899
2024-04-09 12:11:45,True,611
2024-04-09 12:12:00,True,1813
2024-04-09 12:12:15,True,1813
2024-04-09 12:12:30,True,1813
2024-04-09 12:12:45,True,1813
2024-04-09 12:13:00,False,"(1221, 1813, 1813)"
2024-04-09 12:13:15,True,1221
2024-04-09 12:13:30,True,1221
2024-04-09 12:13:45,True,1221
2024-04-09 12:14:00,True,1221
2024-04-09 12:14:15,True,1185
2024-04-09 12:14:30,True,1185
2024-04-09 12:14:45,True,1185
2024-04-09 12:15:00,True,1031
2024-04-09 12:15:15,True,1031
2024-04-09 12:15:30,True,1031
2024-04-09 12:15:45,True,1031
2024-04-09 12:16:00,True,149
2024-04-09 12:16:15,True,149
2024-04-09 12:16:30,True,149
2024-04-09 12:16:45,True,149
2024-04-09 12:17:00,True,149
2024-04-09 12:17:15,True,149
2024-04-09 12:17:30,True,149
2024-04-09 12:17:45,True,909
2024-04-09 12:18:00,True,909
2024-04-09 12:18:15,True,909
2024-04-09 12:18:30,True,1791
2024-04-09 12:18:45,True,1791
2024-04-09 12:19:00,True,1791
2024-04-09 12:19:15,True,1791
2024-04-09 12:19:30,True,1791
2024-04-09 12:19:45,True,1791
2024-04-09 12:20:00,True,1791
2024-04-09 12:20:15,True,1791
2024-04-09 12:20:30,True,1791
2024-04-09 12:20:45,True,1791
2024-04-09 12:21:00,True,1791
2024-04-09 12:21:15,True,1389
2024-04-09 12:21:30,True,1389
2024-04-09 12:21:45,True,1389
2024-04-09 12:22:00,True,1389
2024-04-09 12:22:15,True,1389
2024-04-09 12:22:30,True,1389
2024-04-09 12:22:45,True,1389
2024-04-09 12:23:00,True,1389
2024-04-09 12:23:15,True,1389
2024-04-09 12:23:30,True,1389
2024-04-09 12:23:45,True,1995
2024-04-09 12:24:00,True,1995
2024-04-09 12:24:15,True,1995
2024-04-09 12:24:30,True,1995
2024-04-09 12:24:45,True,1995
2024-04-09 12:25:00,True,1995
2024-04-09 12:25:15,True,1995
2024-04-09 12:25:30,False,"(145, 1995, 1995)"
2024-04-09 12:25:45,True,145
2024-04-09 12:26:00,True,145
2024-04-09 12:26:15,True,145
2024-04-09 12:26:30,True,145
2024-04-09 12:26:45,True,145
2024-04-09 12:27:00,True,931
2024-04-09 12:27:15,True,931
2024-04-09 12:27:30,True,931
2024-04-09 12:27:45,True,931
2024-04-09 12:28:00,True,931
2024-04-09 12:28:15,True,931
2024-04-09 12:28:30,True,931
2024-04-09 12:28:45,True,931
2024-04-09 12:29:00,True,931
2024-04-09 12:29:15,True,931
2024-04-09 12:29:30,True,931
2024-04-09 12:29:45,True,931
2024-04-09 12:30:00,True,931
2024-04-09 12:30:15,True,931
2024-04-09 12:30:30,True,931
2024-04-09 12:30:45,True,1873
2024-04-09 12:31:00,True,1873
2024-04-09 12:31:15,True,1823
2024-04-09 12:31:30,True,1823
2024-04-09 12:31:45,True,1823
2024-04-09 12:32:00,True,1823
2024-04-09 12:32:15,True,1823
2024-04-09 12:32:30,True,1449
2024-04-09 12:32:45,True,1449
2024-04-09 12:33:00,True,1449
2024-04-09 12:33:15,True,1449
2024-04-09 12:33:30,True,1449
2024-04-09 12:33:45,True,1449
2024-04-09 12:34:00,True,1449
2024-04-09 12:34:15,True,1449
2024-04-09 12:34:30,True,1449
2024-04-09 12:34:45,True,1449
2024-04-09 12:35:00,True,1449
2024-04-09 12:35:15,True,1449
2024-04-09 12:35:30,True,1449
2024-04-09 12:35:45,True,1021
2024-04-09 12:36:00,True,1021
2024-04-09 12:36:15,True,1021
2024-04-09 12:36:30,True,1021
2024-04-09 12:36:45,True,1021
2024-04-09 12:37:00,True,1021
2024-04-09 12:37:15,True,1021
2024-04-09 12:37:30,True,1021
2024-04-09 12:37:45,True,1021
2024-04-09 12:38:00,True,1021
2024-04-09 12:38:15,True,1021
2024-04-09 12:38:30,True,1021
2024-04-09 12:38:45,True,1613
2024-04-09 12:39:00,True,1613
2024-04-09 12:39:15,True,1613
2024-04-09 12:39:30,True,1613
2024-04-09 12:39:45,True,1613
2024-04-09 12:40:00,True,1613
2024-04-09 12:40:15,True,1613
2024-04-09 12:40:30,True,1613
2024-04-09 12:40:45,True,417
2024-04-09 12:41:00,True,1913
2024-04-09 12:41:15,False,"(507, 507, 1913)"
2024-04-09 12:41:30,False,"(507, 507, 1913)"
2024-04-09 12:41:45,True,1913
2024-04-09 12:42:00,True,1913
2024-04-09 12:42:15,True,1913
2024-04-09 12:42:30,True,1913
2024-04-09 12:42:45,True,1987
2024-04-09 12:43:00,True,1987
2024-04-09 12:43:15,True,1987
2024-04-09 12:43:30,True,1987
2024-04-09 12:43:45,True,1987
2024-04-09 12:44:00,True,1987
2024-04-09 12:44:15,True,1987
2024-04-09 12:44:30,True,1987
2024-04-09 12:44:45,True,1987
2024-04-09 12:45:00,True,1987
2024-04-09 12:45:15,True,1877
2024-04-09 12:45:30,False,"(1947, 1877, 1877)"
2024-04-09 12:45:45,True,1947
2024-04-09 12:46:00,True,1947
2024-04-09 12:46:15,True,1947
2024-04-09 12:46:30,True,1013
2024-04-09 12:46:45,True,1013
2024-04-09 12:47:00,True,1013
2024-04-09 12:47:15,True,1013
