timestamp,same_satellite,satellite
2024-04-09 12:27:30,False,"(705, 217, 181)"
2024-04-09 12:27:45,False,"(1651, 705, 277)"
2024-04-09 12:28:00,False,"(1651, 829, 601)"
2024-04-09 12:28:15,False,"(273, 181, 829)"
2024-04-09 12:28:30,False,"(539, 603, 705)"
2024-04-09 12:28:45,False,"(1147, 1307, 889)"
2024-04-09 12:29:00,False,"(889, 273, 1307)"
2024-04-09 12:29:15,False,"(603, 829, 601)"
2024-04-09 12:29:30,False,"(889, 277, 1307)"
2024-04-09 12:29:45,False,"(601, 181, 601)"
2024-04-09 12:30:00,False,"(1459, 1373, 1459)"
2024-04-09 12:30:15,False,"(705, 1945, 277)"
2024-04-09 12:30:30,False,"(983, 539, 1373)"
2024-04-09 12:30:45,False,"(1945, 1459, 1945)"
2024-04-09 12:31:00,False,"(1147, 705, 1307)"
2024-04-09 12:31:15,False,"(1945, 983, 1147)"
2024-04-09 12:31:30,False,"(1373, 983, 983)"
2024-04-09 12:31:45,False,"(95, 1041, 1459)"
2024-04-09 12:32:00,False,"(1359, 1945, 95)"
2024-04-09 12:32:15,False,"(1945, 1945, 1459)"
2024-04-09 12:32:30,False,"(1041, 1041, 1945)"
2024-04-09 12:32:45,False,"(1041, 387, 1373)"
2024-04-09 12:33:00,False,"(983, 1041, 1041)"
2024-04-09 12:33:15,False,"(1041, 1041, 1049)"
2024-04-09 12:33:30,False,"(387, 983, 1049)"
2024-04-09 12:33:45,False,"(1041, 1049, 1049)"
2024-04-09 12:34:00,False,"(1461, 387, 1359)"
2024-04-09 12:34:15,False,"(387, 1699, 1699)"
2024-04-09 12:34:30,False,"(1593, 387, 1359)"
2024-04-09 12:34:45,False,"(387, 983, 1041)"
2024-04-09 12:35:00,False,"(1041, 1, 1)"
2024-04-09 12:35:15,False,"(1699, 387, 1)"
2024-04-09 12:35:30,False,"(659, 387, 1)"
2024-04-09 12:35:45,False,"(1, 1699, 1049)"
2024-04-09 12:36:00,False,"(1, 1899, 369)"
2024-04-09 12:36:15,False,"(659, 1699, 1593)"
2024-04-09 12:36:30,False,"(1699, 659, 1)"
2024-04-09 12:36:45,False,"(1865, 369, 1)"
2024-04-09 12:37:00,False,"(1363, 1865, 1677)"
2024-04-09 12:37:15,False,"(395, 1865, 369)"
2024-04-09 12:37:30,False,"(1865, 369, 1899)"
2024-04-09 12:37:45,False,"(395, 1593, 1865)"
2024-04-09 12:38:00,False,"(369, 1363, 1)"
2024-04-09 12:38:15,False,"(369, 1677, 1363)"
2024-04-09 12:38:30,False,"(1677, 1899, 1677)"
2024-04-09 12:38:45,False,"(1865, 1455, 1899)"
2024-04-09 12:39:00,False,"(1865, 1865, 1455)"
2024-04-09 12:39:15,False,"(395, 21, 21)"
2024-04-09 12:39:30,False,"(1677, 369, 1363)"
2024-04-09 12:39:45,False,"(153, 63, 1363)"
2024-04-09 12:40:00,False,"(21, 385, 1677)"
2024-04-09 12:40:15,False,"(385, 153, 153)"
2024-04-09 12:40:30,False,"(21, 869, 385)"
2024-04-09 12:40:45,False,"(63, 1551, 1455)"
2024-04-09 12:41:00,False,"(153, 869, 1959)"
2024-04-09 12:41:15,False,"(153, 1959, 153)"
2024-04-09 12:41:30,False,"(153, 1551, 63)"
2024-04-09 12:41:45,False,"(873, 153, 153)"
2024-04-09 12:42:00,False,"(543, 1551, 873)"
2024-04-09 12:42:15,False,"(1551, 153, 385)"
2024-04-09 12:42:30,False,"(513, 385, 497)"
2024-04-09 12:42:45,False,"(1455, 385, 385)"
2024-04-09 12:43:00,False,"(497, 869, 497)"
2024-04-09 12:43:15,False,"(869, 63, 1685)"
2024-04-09 12:43:30,False,"(1685, 385, 497)"
2024-04-09 12:43:45,False,"(869, 385, 313)"
2024-04-09 12:44:00,False,"(1927, 1761, 313)"
2024-04-09 12:44:15,False,"(1761, 497, 1685)"
2024-04-09 12:44:30,False,"(1761, 513, 543)"
2024-04-09 12:44:45,False,"(497, 1761, 543)"
2024-04-09 12:45:00,False,"(1927, 543, 1685)"
2024-04-09 12:45:15,False,"(1685, 497, 543)"
2024-04-09 12:45:30,False,"(313, 1761, 363)"
2024-04-09 12:45:45,False,"(513, 313, 1761)"
2024-04-09 12:46:00,False,"(1685, 747, 513)"
2024-04-09 12:46:15,False,"(363, 1083, 1445)"
2024-04-09 12:46:30,False,"(1685, 313, 1685)"
2024-04-09 12:46:45,False,"(1685, 1927, 1685)"
2024-04-09 12:47:00,False,"(1529, 1685, 747)"
2024-04-09 12:47:15,False,"(747, 1685, 1529)"
2024-04-09 12:47:30,False,"(1927, 1083, 1927)"
2024-04-09 12:47:45,False,"(1529, 319, 1529)"
2024-04-09 12:48:00,False,"(1529, 747, 1529)"
2024-04-09 12:48:15,False,"(1083, 1529, 1021)"
2024-04-09 12:48:30,False,"(1021, 1083, 1529)"
2024-04-09 12:48:45,True,747
2024-04-09 12:49:00,False,"(763, 319, 1021)"
2024-04-09 12:49:15,False,"(1021, 319, 319)"
2024-04-09 12:49:30,False,"(335, 763, 747)"
2024-04-09 12:49:45,False,"(749, 747, 1529)"
2024-04-09 12:50:00,False,"(749, 749, 319)"
2024-04-09 12:50:15,False,"(749, 763, 749)"
2024-04-09 12:50:30,True,335
2024-04-09 12:50:45,False,"(749, 763, 1529)"
2024-04-09 12:51:00,False,"(1529, 335, 319)"
2024-04-09 12:51:15,False,"(157, 319, 157)"
2024-04-09 12:51:30,False,"(157, 335, 1061)"
2024-04-09 12:51:45,False,"(319, 335, 157)"
2024-04-09 12:52:00,False,"(1061, 335, 335)"
2024-04-09 12:52:15,False,"(157, 319, 319)"
2024-04-09 12:52:30,False,"(335, 763, 157)"
2024-04-09 12:52:45,False,"(131, 335, 221)"
2024-04-09 12:53:00,False,"(221, 1061, 157)"
2024-04-09 12:53:15,False,"(221, 1321, 961)"
2024-04-09 12:53:30,False,"(221, 157, 157)"
2024-04-09 12:53:45,False,"(131, 1935, 1061)"
2024-04-09 12:54:00,False,"(1935, 1391, 221)"
2024-04-09 12:54:15,False,"(1317, 1317, 1061)"
2024-04-09 12:54:30,False,"(593, 1317, 221)"
2024-04-09 12:54:45,False,"(1321, 221, 1391)"
2024-04-09 12:55:00,False,"(1317, 113, 1391)"
2024-04-09 12:55:15,False,"(221, 221, 1391)"
2024-04-09 12:55:30,False,"(1935, 113, 1321)"
2024-04-09 12:55:45,False,"(221, 221, 1317)"
2024-04-09 12:56:00,False,"(113, 1317, 593)"
2024-04-09 12:56:15,False,"(765, 221, 593)"
2024-04-09 12:56:30,False,"(783, 1935, 783)"
2024-04-09 12:56:45,False,"(113, 97, 113)"
2024-04-09 12:57:00,False,"(765, 783, 1317)"
2024-04-09 12:57:15,False,"(97, 1321, 651)"
2024-04-09 12:57:30,False,"(1591, 1591, 1935)"
2024-04-09 12:57:45,False,"(1935, 593, 651)"
2024-04-09 12:58:00,False,"(61, 1631, 97)"
2024-04-09 12:58:15,False,"(1631, 783, 113)"
2024-04-09 12:58:30,False,"(97, 1317, 61)"
2024-04-09 12:58:45,False,"(103, 113, 783)"
2024-04-09 12:59:00,False,"(247, 1591, 805)"
2024-04-09 12:59:15,False,"(1591, 1591, 103)"
2024-04-09 12:59:30,False,"(1631, 97, 103)"
2024-04-09 12:59:45,False,"(1631, 1355, 103)"
